City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Luwuk,ID,81.75,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
597,Diapaga,BF,75.04,overcast clouds,12.0708,1.7889,Hôtel GACILIE
598,Marshfield,US,77.88,overcast clouds,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
601,Wanning,CN,85.66,clear sky,18.8003,110.3967,Paradise Hotel
602,Payakumbuh,ID,77.27,broken clouds,-0.2202,100.6308,Dalimo Homestay
603,Jiayuguan,CN,82.85,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
606,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
607,Ternate,ID,82.54,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
608,Rayagada,IN,80.47,moderate rain,19.1667,83.4167,"Hotel Swagath, Rayagada"
609,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
612,Armacao De Pera,PT,78.71,clear sky,37.1026,-8.357,VILA VITA Parc Resort & Spa
615,Forestville,US,86.25,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
616,Saint Anthony,US,86.94,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
617,Alofi,NU,76.3,light rain,-19.0595,-169.9187,Taloa Heights
622,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
629,Itoman,JP,89.98,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
631,Fruitville,US,78.93,broken clouds,27.3298,-82.4576,Hampton Inn Sarasota - I-75 Bee Ridge
633,Shimoda,JP,83.64,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
637,Powell,US,78.8,clear sky,40.1578,-83.0752,The Brig
638,Lazaro Cardenas,MX,80.92,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
641,Caohe,CN,86.99,scattered clouds,30.2297,115.4335,Ai Jing Hotel
642,Keti Bandar,PK,83.16,broken clouds,24.1447,67.4497,Haji laloo memon house
644,Robertsport,LR,77.23,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
645,Contamana,PE,77.54,few clouds,-7.3333,-75.0167,Shiringal Touristic Park
648,Tigzirt,DZ,79.25,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
651,Batala,IN,83.98,overcast clouds,31.8186,75.2028,Hotel Metro'z Bal'z- Beer Bar/ Top/Best Bar in Batala/Best Hotel in Batala
652,Koumac,NC,76.51,moderate rain,-20.5667,164.2833,Le Monitel
653,Sur,OM,85.6,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
654,Galle,LK,79.2,broken clouds,6.0367,80.217,Amangalla
661,Anloga,GH,75.34,broken clouds,5.7947,0.8973,Pin Drop Hotel
663,Tual,ID,77.94,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
